# BPC league player×hero stats — league 19721
steam32,heroId,games,wins,kills,deaths,assists,heroDamage,goldPerMin,lastHits,maxKills,laneWins,laneDraws,laneLosses
183374427,70,1,1,21,3,12,60125,748,697,21,0,1,0
183374427,121,1,0,4,7,10,6723,235,29,4,0,0,1
192226761,6,2,2,43,5,23,79023,1629,673,28,0,1,0
192226761,21,1,0,10,10,4,22152,468,207,10,1,0,0
192226761,67,1,0,19,5,9,49463,680,320,19,1,0,0
192226761,70,1,1,10,2,10,18475,725,351,10,1,0,0
192226761,76,1,1,19,3,16,58616,678,380,19,0,1,0
193248854,28,1,0,8,11,12,23576,532,411,8,0,1,0
193248854,29,1,1,9,2,16,14805,571,231,9,0,1,0
193248854,135,1,0,6,13,14,32817,577,555,6,0,0,1
193774855,8,1,0,8,7,6,24943,702,634,8,1,0,0
193774855,11,2,1,18,11,19,45408,1425,777,11,1,0,0
193774855,19,1,1,15,3,14,48184,833,541,15,1,0,0
193774855,48,1,1,14,2,9,18505,892,405,14,1,0,0
193774855,93,1,0,9,6,10,25994,613,508,9,0,1,0
195002259,22,1,0,8,9,8,45528,408,164,8,1,0,0
195002259,27,1,0,1,14,21,12138,317,46,1,0,1,0
195002259,60,1,0,3,11,9,10691,339,128,3,0,0,1
195002259,86,2,1,11,14,45,43234,897,347,6,1,0,1
195002259,128,1,1,13,4,13,17977,605,183,13,1,0,0
198263407,2,2,2,23,11,33,37584,1071,368,14,1,0,0
198263407,28,1,1,11,1,23,22250,612,290,11,0,1,0
198263407,29,1,0,1,9,19,16757,480,238,1,0,0,1
198263407,42,1,0,12,6,6,38202,601,302,12,1,0,0
198263407,69,1,1,10,7,20,21085,590,236,10,1,0,0
198263407,135,1,1,14,5,21,41476,687,456,14,0,1,0
200337180,20,1,1,2,11,33,14102,387,48,2,0,0,1
200337180,86,1,1,6,4,24,18923,354,73,6,0,1,0
200337180,100,2,1,9,19,64,26131,648,159,6,1,1,0
200337180,110,1,1,1,3,27,12616,401,112,1,0,0,1
201645249,20,1,0,0,11,12,6503,186,11,0,0,0,1
206966793,26,1,0,3,11,12,10049,289,25,3,0,0,0
206966793,71,1,1,4,4,16,8400,327,46,4,0,0,0
206966793,105,1,0,4,8,30,62721,377,107,4,0,1,0
206966793,123,3,2,12,15,54,53681,1132,256,6,0,2,0
218830826,21,1,0,12,8,17,30289,559,413,12,1,0,0
218830826,70,2,2,26,1,23,70643,1390,901,14,1,0,1
218830826,99,2,2,33,6,47,132720,1460,893,17,2,0,0
229462713,31,1,1,5,12,29,20156,354,48,5,1,0,0
229462713,86,2,0,9,18,27,26459,537,103,8,0,0,2
229462713,121,3,0,11,18,42,39774,860,215,6,0,1,2
233614633,86,1,0,2,11,18,20803,323,65,2,0,0,1
233614633,98,1,0,7,4,13,29282,518,260,7,0,0,1
233614633,99,1,0,18,7,13,50666,673,584,18,0,1,0
233614633,108,1,0,7,7,24,31854,452,207,7,0,1,0
233614633,129,1,1,5,8,34,24087,519,318,5,0,1,0
256634096,28,1,1,10,8,18,25764,582,366,10,0,1,0
256634096,108,1,1,7,3,26,22675,523,264,7,1,0,0
258566071,26,1,0,4,15,17,11443,268,13,4,0,0,1
258566071,86,1,0,3,14,26,16879,298,68,3,0,1,0
258566071,87,1,0,1,12,31,15772,304,57,1,0,0,0
258566071,110,1,1,10,4,30,31858,443,117,10,0,1,0
294332070,74,1,1,9,11,21,22429,383,33,9,0,0,1
294332070,87,1,0,3,14,15,10600,261,47,3,0,1,0
294332070,100,1,1,5,7,13,10895,307,16,5,1,0,0
300437831,15,1,1,11,5,22,39105,593,294,11,0,1,0
300437831,26,1,1,3,4,8,6256,291,37,3,0,1,0
300437831,43,1,0,4,7,14,30056,448,376,4,0,0,1
300437831,128,2,1,22,15,30,63447,1047,679,12,1,0,1
312460637,25,1,1,17,11,17,58471,748,724,17,0,1,0
312460637,28,1,1,14,10,20,27336,682,496,14,0,0,1
312460637,109,1,0,10,4,5,33126,681,499,10,0,1,0
312460637,114,1,1,11,6,20,45035,605,303,11,0,1,0
312460637,135,1,0,8,11,11,28335,528,349,8,0,1,0
320180936,2,2,0,17,19,23,46241,959,483,13,0,2,0
320180936,29,1,1,7,11,25,32427,591,495,7,0,0,1
320180936,69,2,2,17,15,50,53576,1342,528,11,0,1,1
329866715,18,1,1,19,5,12,32280,828,501,19,0,1,0
329866715,46,1,0,7,7,5,21815,617,452,7,0,1,0
329866715,48,1,1,14,5,14,45364,873,477,14,1,0,0
329866715,54,1,1,20,3,14,57847,790,708,20,0,1,0
329866715,70,1,0,13,10,13,29734,604,379,13,0,0,1
345317442,12,1,0,5,5,8,12609,493,238,5,0,1,0
345317442,28,3,1,19,17,34,48651,1411,827,11,1,0,2
345317442,129,2,0,14,13,42,38718,985,581,7,0,1,1
365812035,11,1,1,14,4,8,27013,678,311,14,1,0,0
365812035,19,2,1,24,15,33,98379,1380,1138,16,0,1,1
365812035,54,1,0,13,7,6,41106,624,465,13,0,1,0
365812035,145,1,1,18,3,18,55331,759,461,18,0,1,0
367563618,14,1,0,7,15,11,15397,356,73,7,0,0,1
367563618,17,1,0,8,7,16,26947,574,355,8,0,1,0
367563618,86,1,1,6,7,17,17375,449,153,6,0,0,1
367563618,126,1,1,12,3,18,39698,673,340,12,0,1,0
367563618,128,1,1,5,10,18,19700,440,116,5,0,1,0
367730370,29,1,0,5,7,20,18717,424,238,5,0,0,1
367730370,31,1,0,5,5,16,21847,340,41,5,1,0,0
367730370,70,1,1,19,2,6,38200,714,375,19,0,1,0
367730370,94,1,0,3,6,10,14153,392,220,3,0,0,1
367730370,100,1,1,6,6,26,11127,293,11,6,1,0,0
372405507,39,1,0,13,6,11,43518,603,282,13,0,1,0
372405507,74,3,3,29,12,56,78076,1446,450,14,0,0,2
373096307,14,1,1,9,5,19,29163,546,233,9,0,0,1
373096307,29,1,1,8,5,22,15062,472,238,8,0,1,0
373096307,60,1,1,25,4,20,42721,511,239,25,1,0,0
373096307,104,1,1,14,9,20,35902,534,167,14,0,0,1
373096307,129,1,0,7,11,29,24251,493,278,7,0,1,0
377904244,30,1,0,6,14,10,12899,277,20,6,0,1,0
377904244,31,1,1,4,13,16,18678,315,33,4,0,1,0
377904244,75,1,0,1,8,28,10264,319,93,1,0,1,0
377904244,87,1,0,5,10,18,22128,308,58,5,0,1,0
377904244,121,2,1,7,27,50,22677,615,48,4,1,0,1
378183228,8,2,1,21,10,20,93707,1363,1131,13,1,1,0
378183228,32,2,1,47,12,26,75092,1103,264,41,1,0,1
378183228,41,1,0,8,6,11,33294,659,513,8,0,1,0
378183228,93,1,0,9,4,4,15038,503,175,9,0,1,0
383949237,6,1,1,9,5,14,31077,624,423,9,0,1,0
383949237,27,2,2,10,16,47,22121,705,91,6,1,0,0
383949237,30,1,1,9,5,24,14789,362,24,9,1,0,0
383949237,87,1,0,0,10,24,11260,300,30,0,1,0,0
383949237,108,1,0,2,10,9,17967,403,196,2,0,0,1
384213851,78,2,1,14,20,36,46405,1025,391,9,0,0,2
384213851,120,2,2,22,14,32,64504,1120,527,12,0,2,0
384213851,135,1,0,5,10,14,25765,475,308,5,0,1,0
389555066,121,4,3,17,37,104,46990,1219,213,5,0,2,2
389555066,128,1,0,2,13,5,14594,193,45,2,0,1,0
393400421,25,1,0,5,8,12,23071,466,187,5,0,0,1
393400421,74,2,2,17,17,44,78797,1148,605,9,1,0,1
393400421,76,1,0,13,8,16,43225,559,401,13,1,0,0
393400421,126,2,0,20,16,20,67317,921,413,13,0,1,1
393477519,2,2,2,22,20,42,69024,1111,768,13,1,1,0
393477519,13,1,1,13,10,16,36004,573,413,13,0,0,1
393477519,39,1,0,2,10,13,20610,392,204,2,0,0,1
393477519,126,1,0,9,7,12,33182,444,221,9,0,1,0
403543580,93,1,0,11,8,15,27590,627,300,11,1,0,0
405888739,43,1,1,3,8,18,22964,456,210,3,0,1,0
405888739,110,2,1,23,21,38,75683,967,380,13,0,0,2
410923078,28,3,2,15,25,45,41625,1351,554,9,0,2,0
410923078,60,1,1,2,8,15,11590,464,144,2,0,1,0
410923078,97,1,0,11,9,24,27116,568,381,11,0,1,0
410923078,108,1,0,2,9,9,21938,429,331,2,1,0,0
411474101,39,1,0,11,3,11,58549,589,402,11,0,1,0
411474101,45,1,0,6,6,9,26604,490,220,6,0,1,0
411474101,128,2,2,29,11,22,50579,1156,389,16,2,0,0
411474101,135,1,1,8,6,15,28636,577,327,8,0,1,0
557050270,20,2,2,3,25,49,21729,565,115,2,1,0,1
557050270,26,1,1,2,14,25,17270,268,42,2,0,1,0
557050270,64,1,0,3,13,15,15812,241,51,3,0,0,1
557050270,97,1,0,2,11,11,12265,302,133,2,0,0,1
850476495,27,1,0,5,11,25,15685,268,32,5,0,1,0
850476495,31,1,1,2,4,12,5215,276,22,2,1,0,0
850476495,64,1,0,2,7,12,12037,223,45,2,1,0,0
850476495,84,3,2,7,28,64,35447,813,64,4,2,0,0
852647381,31,4,3,24,33,101,84095,1446,193,8,1,2,1
852647381,75,1,0,0,9,9,6537,248,31,0,0,1,0
861335657,1,1,1,12,2,14,33648,883,504,12,1,0,0
861335657,12,1,0,13,9,9,33477,709,538,13,1,0,0
861335657,41,2,1,20,14,31,59338,1332,800,13,2,0,0
861335657,54,1,1,6,4,15,40639,651,387,6,0,1,0
874000662,31,3,2,16,34,62,67699,997,261,6,0,3,0
874000662,100,2,1,12,22,31,20561,614,99,8,1,1,0
1673844832,25,1,1,19,4,19,56955,695,426,19,0,0,1
1673844832,39,1,0,5,6,7,16043,447,182,5,0,0,1
1673844832,76,1,0,3,5,2,12816,406,214,3,1,0,0
1673844832,88,1,0,4,10,11,31188,400,192,4,0,1,0
1673844832,126,2,0,26,10,40,78408,946,466,13,1,1,0
